image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_f74ae2ae87,camera:0,2026-06-10T07:56:52,camera,data\raw_images\img_f74ae2ae87.jpg,data\processed_images\img_f74ae2ae87_processed_steps.jpg,640,480,113.33,processed,10.27,snapshot button
img_5e88450f09,camera:0,2026-06-10T07:57:40,motion_capture,data\raw_images\img_5e88450f09.jpg,data\processed_images\img_5e88450f09_processed_steps.jpg,640,480,119.27,processed,9.71,"motion_score=10637.0, threshold=25, min_area=800"
img_9c14ebe959,image_upload_dashboard,2026-06-10T08:02:32,upload,data\raw_images\img_9c14ebe959.jpg,data\processed_images\img_9c14ebe959_processed_steps.jpg,960,600,68.24,processed,9.88,filename=z7869379627675_e2d334261d4599912058207f51bed605.jpg
img_3086199834,camera:0,2026-06-10T08:08:30,camera,data\raw_images\img_3086199834.jpg,data\processed_images\img_3086199834_processed_steps.jpg,640,480,119.35,processed,8.42,snapshot button
img_66fba39208,camera:0,2026-06-10T08:08:37,camera,data\raw_images\img_66fba39208.jpg,data\processed_images\img_66fba39208_processed_steps.jpg,640,480,113.89,processed,9.19,snapshot button
img_fead799356,camera:0,2026-06-10T08:08:55,camera,data\raw_images\img_fead799356.jpg,data\processed_images\img_fead799356_processed_steps.jpg,640,480,118.92,processed,8.94,snapshot button
img_30cc118563,local_smoke,2026-06-10T10:14:02,script,data\raw_images\img_30cc118563.jpg,data\processed_images\img_30cc118563_processed_steps.jpg,640,360,233.51,processed,17.38,python app.py smoke test
img_f6ce55467c,camera:0,2026-06-10T10:15:13,motion_capture,data\raw_images\img_f6ce55467c.jpg,data\processed_images\img_f6ce55467c_processed_steps.jpg,640,480,114.16,processed,14.81,"motion_score=6864.0, threshold=25, min_area=800"
img_9c8c305d85,camera:0,2026-06-10T10:22:42,motion_stream,data\raw_images\img_9c8c305d85.jpg,data\processed_images\img_9c8c305d85_processed_steps.jpg,640,480,124.66,processed,17.49,"motion_score=452.5, threshold=25, min_area=10"
img_c60204d07e,camera:0,2026-06-10T10:24:50,motion_capture,data\raw_images\img_c60204d07e.jpg,data\processed_images\img_c60204d07e_processed_steps.jpg,640,480,120.77,processed,15.21,"motion_score=2520.0, threshold=25, min_area=800"
img_4149d16de2,camera:0,2026-06-10T10:24:59,motion_capture,data\raw_images\img_4149d16de2.jpg,data\processed_images\img_4149d16de2_processed_steps.jpg,640,480,100.86,processed,11.3,"motion_score=19405.5, threshold=25, min_area=800"
img_ea569e695d,camera:0,2026-06-10T10:25:08,motion_capture,data\raw_images\img_ea569e695d.jpg,data\processed_images\img_ea569e695d_processed_steps.jpg,640,480,107.08,processed,10.52,"motion_score=925.5, threshold=25, min_area=800"
img_021a24ab3a,camera:0,2026-06-10T10:27:11,motion_stream,data\raw_images\img_021a24ab3a.jpg,data\processed_images\img_021a24ab3a_processed_steps.jpg,640,480,83.23,processed,15.26,"motion_score=764.0, threshold=10, min_area=10"
img_4af0a2f74a,camera:0,2026-06-10T10:31:19,motion_capture,data\raw_images\img_4af0a2f74a.jpg,data\processed_images\img_4af0a2f74a_processed_steps.jpg,640,360,233.51,processed,8.33,"motion_score=76241.0, threshold=25, min_area=800"
img_203ab16fdf,camera:0,2026-06-10T10:31:27,motion_capture,data\raw_images\img_203ab16fdf.jpg,data\processed_images\img_203ab16fdf_processed_steps.jpg,640,480,110.23,processed,10.76,"motion_score=8125.0, threshold=25, min_area=800"
img_412ef068b9,camera:0,2026-06-10T10:31:36,motion_capture,data\raw_images\img_412ef068b9.jpg,data\processed_images\img_412ef068b9_processed_steps.jpg,640,480,114.86,processed,10.17,"motion_score=4474.0, threshold=25, min_area=800"
img_2cdb30b8cd,camera:0,2026-06-10T10:31:45,motion_capture,data\raw_images\img_2cdb30b8cd.jpg,data\processed_images\img_2cdb30b8cd_processed_steps.jpg,640,480,110.84,processed,10.3,"motion_score=783.0, threshold=25, min_area=800"
img_6abb9145b2,camera:0,2026-06-10T11:19:44,camera,data\raw_images\img_6abb9145b2.jpg,data\processed_images\img_6abb9145b2_processed_steps.jpg,640,480,104.45,processed,9.32,people_count=0
img_a783fdccf2,camera:0,2026-06-10T11:24:56,camera,data\raw_images\img_a783fdccf2.jpg,data\processed_images\img_a783fdccf2_processed_steps.jpg,640,480,0.0,processed,14.55,people_count=0
img_24ed4ac612,camera:0,2026-06-10T11:26:31,motion_stream,data\raw_images\img_24ed4ac612.jpg,data\processed_images\img_24ed4ac612_processed_steps.jpg,640,480,114.28,processed,25.45,"motion_score=21529.0, threshold=25, min_area=800"
img_7a0cd77659,camera:0,2026-06-10T11:26:36,motion_stream,data\raw_images\img_7a0cd77659.jpg,data\processed_images\img_7a0cd77659_processed_steps.jpg,640,480,119.4,processed,15.03,"motion_score=1189.0, threshold=25, min_area=800"
img_9815ac3e26,camera:0,2026-06-10T11:26:41,motion_stream,data\raw_images\img_9815ac3e26.jpg,data\processed_images\img_9815ac3e26_processed_steps.jpg,640,480,119.93,processed,11.78,"motion_score=1893.5, threshold=25, min_area=800"
img_9509556e71,camera:0,2026-06-10T11:30:29,motion_stream,data\raw_images\img_9509556e71.jpg,data\processed_images\img_9509556e71_processed_steps.jpg,640,480,105.09,processed,13.68,"motion_score=17118.0, threshold=25, min_area=800"
img_b8fded3d2d,camera:0,2026-06-10T11:30:55,camera,data\raw_images\img_b8fded3d2d.jpg,data\processed_images\img_b8fded3d2d_processed_steps.jpg,640,480,105.22,processed,18.7,people_count=0
